Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
335,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,26,1997,5.6,0,2,0,0,0.36,0,0,,10.4,0,0,0,0.6,0.6,0.29,-0.6,-0.6,Matches
336,Saša Lukić,rs SRB,MF,Fulham,26,1996,12.5,1,13,3,23.1,1.04,0.24,0.08,0.33,17.1,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
337,Ian Maatsen,nl NED,"FW,MF",Chelsea,21,2002,2.3,0,5,0,0,2.15,0,0,,17.1,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
338,James Maddison,eng ENG,MF,Tottenham,26,1996,23.7,4,58,23,39.7,2.44,0.97,0.07,0.17,19.2,3,0,0,6.4,6.4,0.11,-2.4,-2.4,Matches
339,Gabriel Magalhães,br BRA,DF,Arsenal,25,1997,33.8,4,31,10,32.3,0.92,0.3,0.13,0.4,7.9,0,0,0,4.3,4.3,0.14,-0.3,-0.3,Matches
340,Harry Maguire,eng ENG,DF,Manchester Utd,30,1993,18.4,2,20,3,15,1.09,0.16,0.1,0.67,11.5,0,0,0,2,2,0.1,0,0,Matches
341,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18,2005,21.4,3,11,5,45.5,0.51,0.23,0.27,0.6,21.1,0,0,0,0.9,0.9,0.08,+2.1,+2.1,Matches
342,Orel Mangala,be BEL,MF,Nott'ham Forest,25,1998,17.4,1,10,1,10,0.58,0.06,0.1,1,18.9,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
343,Benson Manuel,ao ANG,"MF,FW",Burnley,26,1997,1.3,0,4,2,50,3.1,1.55,0,0,24,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
344,Solly March,eng ENG,"FW,DF",Brighton,29,1994,6.2,3,14,6,42.9,2.27,0.97,0.21,0.5,16.6,1,0,0,2,2,0.14,+1.0,+1.0,Matches
345,Anthony Martial,fr FRA,FW,Manchester Utd,27,1995,5,1,6,4,66.7,1.21,0.8,0.17,0.25,12.9,0,0,0,1.2,1.2,0.2,-0.2,-0.2,Matches
346,Gabriel Martinelli,br BRA,FW,Arsenal,22,2001,22.4,6,58,20,34.5,2.59,0.89,0.1,0.3,15.6,0,0,0,6.8,6.8,0.12,-0.8,-0.8,Matches
347,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,33.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
348,Lisandro Martínez,ar ARG,DF,Manchester Utd,25,1998,7.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
349,Han-Noah Massengo,fr FRA,"MF,DF",Burnley,22,2001,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
350,Pape Matar Sarr,sn SEN,MF,Tottenham,20,2002,23,3,36,13,36.1,1.57,0.57,0.08,0.23,17.6,0,0,0,3.4,3.4,0.1,-0.4,-0.4,Matches
351,Joël Matip,cm CMR,DF,Liverpool,31,1991,8.7,0,5,0,0,0.58,0,0,,10.6,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
352,Alex Matos,eng ENG,MF,Chelsea,18,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
353,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
354,Neal Maupay,fr FRA,FW,Brentford,26,1996,14.7,6,37,14,37.8,2.52,0.95,0.16,0.43,15.3,1,0,0,5.7,5.7,0.16,+0.3,+0.3,Matches
355,Neal Maupay,fr FRA,FW,Everton,26,1996,1.2,0,5,4,80,4.05,3.24,0,0,12.5,0,0,0,1.4,1.4,0.29,-1.4,-1.4,Matches
