G.Jesus	(F)	ARS	£7.8	18 (5)	1125	42	17	40	9	5.35	4	21%	21%	7.5	8	23	4	2.13	4	62.55	212	10	64
Senesi	(D)	BOU	£4.6	23 (4)	1660	7	3	5	2	0.93	3	8%	15%	2.8	5	13	1	1.86	2	62.46	329	8	69
Mateta	(F)	CRY	£4.9	24 (10)	1419	22	11	21	4	3.88	4	19%	31%	4.9	9	22	4	0.99	5	62.38	218	5	73
Adebayo	(F)	LUT	£4.9	24 (10)	1160	28	12	27	10	4.93	9	19%	30%	5.4	10	15	0	0.44	1	62.26	264	6	80
Sarr	(M)	TOT	£4.4	22 (4)	1361	29	12	17	5	2.48	3	9%	11%	3.6	5	16	1	1.16	2	62.26	291	4	65
Jensen	(M)	BRE	£5.4	22 (3)	1468	12	6	4	0	0.59	3	10%	21%	3.9	7	27	7	3.3	4	61.51	311	8	77
Lewis-Potter	(M)	BRE	£4.7	20 (11)	912	23	10	18	7	3.3	2	14%	15%	4.5	4	9	2	1.18	2	61.37	132	1	47
Aït-Nouri	(D)	WOL	£4.5	23 (3)	1626	13	1	8	3	1.55	0	9%	5%	3.0	2	19	1	1.45	2	61.37	251	4	47
Johnstone	(G)	CRY	£4.4	19 (0)	1707	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0	0	61.37	300	7	66
Doku	(M)	MCI	£6.4	19 (5)	1180	32	9	25	0	1.37	2	13%	15%	5.5	7	34	4	4.11	5	61.13	270	9	61
Pau	(D)	AVL	£4.6	20 (2)	1653	9	4	7	4	0.88	2	4%	4%	1.4	2	7	1	0.55	0	60.98	326	4	64
Wilson	(F)	NEW	£7.8	16 (8)	858	31	18	29	13	7.5	7	24%	22%	7.8	8	7	1	0.31	1	60.34	187	4	57
Young	(D)	EVE	£4.4	20 (1)	1520	9	1	2	0	0.44	0	5%	0%	1.8	0	17	4	1.34	0	60.05	229	2	42
