Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Mis,Dis,Rec,Prog,Matches
266,Harry Kane,eng ENG,FW,Tottenham,29,1993,37.8,1328,28,106,646,599,167,1322,108,40,37,74,58,1031,193,Matches
267,N'Golo Kanté,fr FRA,MF,Chelsea,31,1991,5.8,404,11,53,195,163,16,404,18,12,66.7,13,5,279,36,Matches
268,Michael Keane,eng ENG,DF,Everton,29,1993,10.9,565,83,275,239,55,24,565,7,4,57.1,6,2,275,4,Matches
269,Neeskens Kebano,cd COD,FW,Fulham,30,1992,8.5,321,10,48,92,188,30,321,28,9,32.1,16,12,216,68,Matches
270,Thilo Kehrer,de GER,DF,West Ham,25,1996,24.8,1335,135,600,595,147,17,1335,11,8,72.7,17,6,760,29,Matches
271,Naby Keïta,gn GUI,MF,Liverpool,27,1995,3.3,206,5,34,114,59,11,206,4,3,75,12,7,140,21,Matches
272,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1998,1,26,18,26,0,0,0,26,0,0,,0,0,13,0,Matches
273,Lloyd Kelly,eng ENG,DF,Bournemouth,23,1998,22.7,1394,185,752,526,124,9,1394,7,1,14.3,16,4,806,10,Matches
274,Max Kilman,eng ENG,DF,Wolves,25,1997,36.7,2470,432,1460,952,75,26,2470,25,19,76,15,9,1699,5,Matches
275,Jakub Kiwior,pl POL,DF,Arsenal,22,2000,4.7,248,31,124,103,22,3,248,1,1,100,0,0,148,6,Matches
276,Mateusz Klich,pl POL,"MF,FW",Leeds United,32,1990,3.1,189,3,25,82,85,9,189,6,2,33.3,11,1,124,21,Matches
277,Robin Koch,de GER,DF,Leeds United,26,1996,35.3,1963,263,1051,820,106,32,1963,3,1,33.3,15,1,1102,11,Matches
278,Ibrahima Konaté,fr FRA,DF,Liverpool,23,1999,17.2,1317,107,589,691,43,22,1317,14,10,71.4,12,4,918,5,Matches
279,Ezri Konsa,eng ENG,DF,Aston Villa,24,1997,36.9,2192,349,1280,850,70,22,2192,15,5,33.3,15,5,1533,11,Matches
280,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,1991,20,1687,174,793,838,63,19,1687,6,4,66.7,10,2,1209,4,Matches
281,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,32,1989,9.8,363,39,136,166,64,14,363,9,6,66.7,15,9,175,14,Matches
282,Mateo Kovačić,hr CRO,MF,Chelsea,28,1994,19,1492,31,279,938,289,12,1492,34,19,55.9,26,26,1144,30,Matches
283,Emil Krafth,se SWE,DF,Newcastle Utd,27,1994,0,1,0,1,0,0,0,1,0,0,,0,0,0,0,Matches
284,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,2000,23,1048,26,156,394,528,107,1048,110,50,45.5,78,52,711,195,Matches
285,Layvin Kurzawa,fr FRA,DF,Fulham,29,1992,1.5,64,8,35,18,11,0,64,4,2,50,3,1,24,2,Matches
286,Adam Lallana,eng ENG,"MF,FW",Brighton,34,1988,8,373,6,43,180,151,33,373,6,3,50,15,11,295,43,Matches
287,Tariq Lamptey,gh GHA,DF,Brighton,21,2000,5,376,15,80,138,161,17,376,28,8,28.6,16,2,256,58,Matches
288,Manuel Lanzini,ar ARG,"MF,FW",West Ham,29,1993,2.8,192,3,32,111,50,3,192,3,1,33.3,2,3,150,6,Matches
289,Aymeric Laporte,es ESP,DF,Manchester City,28,1994,11,1036,85,335,538,166,13,1036,4,2,50,3,0,806,11,Matches
290,Juan Larios,es ESP,DF,Southampton,18,2004,1.7,106,10,32,55,20,2,106,4,3,75,3,2,47,1,Matches
291,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,1993,2.4,118,27,68,47,4,4,118,0,0,,0,0,75,0,Matches
292,Roméo Lavia,be BEL,MF,Southampton,18,2004,24.7,1288,58,298,828,177,1,1288,50,28,56,24,31,794,14,Matches
293,Dexter Lembikisa,jm JAM,DF,Wolves,18,2003,0.3,13,0,3,7,3,0,13,0,0,,0,0,8,3,Matches
294,Mario Lemina,ga GAB,MF,Wolves,28,1993,14.4,794,67,292,430,81,4,794,18,11,61.1,13,8,521,9,Matches
295,Clément Lenglet,fr FRA,DF,Tottenham,27,1995,22.4,1666,178,805,761,107,17,1666,12,7,58.3,12,8,1256,7,Matches
296,Bernd Leno,de GER,GK,Fulham,30,1992,36,1499,1188,1492,7,0,0,1499,0,0,,1,0,752,0,Matches
297,Jefferson Lerma,co COL,MF,Bournemouth,27,1994,36.1,1934,165,587,1030,338,44,1934,23,13,56.5,24,17,1162,30,Matches
298,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24,1998,0.1,15,0,6,4,5,2,15,0,0,,0,0,13,1,Matches
299,Rico Lewis,eng ENG,"DF,MF",Manchester City,17,2004,10,742,26,133,416,199,12,742,14,8,57.1,7,13,593,26,Matches
300,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,2001,3.6,138,4,24,48,69,18,138,14,4,28.6,11,8,91,39,Matches
301,Victor Lindelöf,se SWE,DF,Manchester Utd,28,1994,15.2,1074,145,550,491,35,5,1074,3,2,66.7,1,2,739,1,Matches
302,Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,1992,10.3,371,7,44,202,132,16,371,10,6,60,16,10,263,38,Matches
303,Valentino Livramento,eng ENG,"DF,FW",Southampton,19,2002,0.3,37,5,19,16,3,0,37,3,2,66.7,1,0,16,0,Matches
304,Diego Llorente,es ESP,DF,Leeds United,28,1993,7.2,506,59,283,210,15,6,506,3,2,66.7,6,1,312,1,Matches
305,Hugo Lloris,fr FRA,GK,Tottenham,35,1986,24.5,794,723,792,2,0,0,794,0,0,,2,0,353,0,Matches
306,Renan Lodi,br BRA,DF,Nott'ham Forest,24,1998,24.6,1143,96,478,418,263,21,1143,39,16,41,18,13,535,70,Matches
307,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26,1996,17.1,1068,40,185,576,322,42,1068,60,30,50,22,23,774,86,Matches
308,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,1997,28,1433,45,278,742,420,76,1433,27,8,29.6,37,29,951,115,Matches
309,Jamal Lowe,jm JAM,"MF,FW",Bournemouth,28,1994,0.1,4,0,0,3,1,0,4,0,0,,0,0,3,0,Matches
310,Douglas Luiz,br BRA,MF,Aston Villa,24,1998,32.5,2118,75,534,1161,443,19,2117,44,24,54.5,36,33,1326,35,Matches
