Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
63,Yves Bissouma,ml MLI,MF,Tottenham,25,1996,11.2,29,3,24,0,1,1,1,2,1,0.09,1,0,0,0,0,0,Matches
64,Willy Boly,ci CIV,DF,Nott'ham Forest,31,1991,7.6,5,0.66,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
65,Sven Botman,nl NED,DF,Newcastle Utd,22,2000,34.7,24,1,18,1,0,5,0,0,1,0.03,0,0,0,1,0,0,Matches
66,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,35.9,108,3.01,58,15,10,13,10,2,14,0.39,6,3,0,2,3,0,Matches
67,James Bree,eng ENG,DF,Southampton,24,1997,4.1,6,1.47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Armando Broja,al ALB,FW,Chelsea,20,2001,3.3,4,1.22,2,0,0,0,2,0,2,0.61,1,0,0,0,1,0,Matches
69,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,1.9,8,4,5,0,1,1,1,0,0,0,0,0,0,0,0,0,Matches
70,Lewis Brunt,eng ENG,DF,Leicester City,21,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,1996,26.8,90,3,72,2,8,3,4,1,10,0.37,7,0,1,2,0,0,Matches
72,Hugo Bueno,es ESP,DF,Wolves,19,2002,14.6,30,2.06,22,7,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
73,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,6.3,14,2,12,0,2,0,0,0,1,0.16,1,0,0,0,0,0,Matches
74,Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,34.6,40,1.16,35,2,0,3,0,0,3,0.09,3,0,0,0,0,0,Matches
75,Cafú,pt POR,MF,Nott'ham Forest,29,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Moisés Caicedo,ec ECU,MF,Brighton,20,2001,34.9,88,3,81,0,2,3,1,1,5,0.14,5,0,0,0,0,0,Matches
77,Tom Cairney,sct SCO,MF,Fulham,31,1991,11,45,4.1,35,4,1,2,2,1,3,0.27,3,0,0,0,0,0,Matches
78,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,1996,10.5,6,0.57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,1997,12.9,24,2,16,0,5,1,2,0,4,0.31,2,0,1,0,1,0,Matches
80,Chem Campbell,wls WAL,"FW,MF",Wolves,19,2002,0.8,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
81,João Cancelo,pt POR,DF,Manchester City,28,1994,14.2,39,2.76,30,0,2,5,1,1,6,0.42,5,0,1,0,0,0,Matches
82,Thomas Cannon,ie IRL,FW,Everton,19,2002,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
83,Sergi Canós,es ESP,"FW,DF",Brentford,25,1997,0.9,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,29,1993,2.3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
85,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,2002,3.9,9,2,5,0,0,2,2,0,2,0.52,1,0,0,1,0,0,Matches
86,Casemiro,br BRA,MF,Manchester Utd,30,1992,23.6,68,2.88,61,0,0,5,2,0,8,0.34,8,0,0,0,0,0,Matches
87,Matty Cash,pl POL,DF,Aston Villa,24,1997,20.2,28,1,25,0,1,0,1,1,3,0.15,2,0,0,0,0,1,Matches
88,Timothy Castagne,be BEL,DF,Leicester City,26,1995,36.2,51,1.41,44,2,1,2,1,1,5,0.14,4,0,0,1,0,0,Matches
89,Jonny Castro,es ESP,DF,Wolves,28,1994,14,24,2,20,0,0,0,3,1,1,0.07,1,0,0,0,0,0,Matches
90,Julio César Enciso,py PAR,"FW,MF",Brighton,18,2004,9,45,5.02,28,0,9,6,2,0,7,0.78,3,0,2,1,1,0,Matches
91,Nathaniel Chalobah,eng ENG,MF,Fulham,27,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,23,1999,17.9,16,0.9,11,0,1,2,2,0,3,0.17,3,0,0,0,0,0,Matches
