Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
319,Illan Meslier,fr FRA,GK,Leeds United,20,2000,35.0,1468,1292,1468,0,0,0,1468,0,0,,2,1,721,0,Matches,6b625ac2
320,Luka Milivojević,rs SRB,MF,Crystal Palace,29,1991,26.2,1580,86,443,958,200,9,1578,8,14,57.1,13,19,942,6,Matches,2ce2508a
321,James Milner,eng ENG,MFDF,Liverpool,34,1986,11.9,1066,30,184,619,273,18,1066,6,12,50.0,12,12,739,30,Matches,2f90f6b8
322,Yerry Mina,co COL,DF,Everton,25,1994,21.5,1478,207,814,642,33,26,1478,1,3,33.3,3,1,1049,2,Matches,6d5701f2
323,Takumi Minamino,jp JPN,MF,Southampton,25,1995,7.9,346,13,57,182,114,16,346,4,13,30.8,16,6,236,35,Matches,f833a830
324,Takumi Minamino,jp JPN,MFFW,Liverpool,25,1995,3.3,167,3,18,89,61,9,167,7,7,100.0,7,5,126,17,Matches,f833a830
325,Tyrone Mings,eng ENG,DF,Aston Villa,27,1993,35.5,2074,342,1204,804,84,36,2074,6,8,75.0,19,4,1209,4,Matches,8397a50c
326,Tyrick Mitchell,eng ENG,DF,Crystal Palace,20,1999,19.0,1000,77,400,405,200,7,1000,11,18,61.1,16,12,473,12,Matches,5cbd1eb0
327,Aleksandar Mitrović,rs SRB,FW,Fulham,25,1994,15.6,579,12,37,240,305,101,577,7,12,58.3,60,17,451,89,Matches,3925dbd6
328,Jakub Moder,pl POL,DFMF,Brighton,21,1999,7.2,369,15,66,149,162,22,369,9,17,52.9,14,10,248,25,Matches,f230bc30
329,Jayson Molumby,ie IRL,MF,Brighton,20,1999,0.0,1,0,0,1,0,0,1,0,0,,0,0,0,0,Matches,c908a1bc
330,Wesley Moraes,br BRA,FW,Aston Villa,23,1996,0.2,8,0,0,0,8,1,8,0,0,,1,0,4,1,Matches,bfae110f
331,Wes Morgan,jm JAM,DF,Leicester City,36,1984,0.2,6,1,2,4,0,0,6,0,0,,0,0,3,0,Matches,80c31c97
