Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
170,Jean-Philippe Gbamin,ci CIV,MF,Everton,24,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6bd603db
171,David de Gea,es ESP,GK,Manchester Utd,29,1990,25.5,2,0.08,1,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,7ba6d84e
172,Anwar El Ghazi,nl NED,FW,Aston Villa,25,1995,17.9,65,3.62,37,9,6,7,6,0,2,0.11,1,0,0,1,0,0,Matches,ffa90327
173,Kieran Gibbs,eng ENG,DF,West Brom,30,1989,9.0,5,0.56,5,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches,46ee5234
174,Morgan Gibbs-White,eng ENG,MFFW,Wolves,20,2000,4.6,16,3.48,13,1,0,1,1,0,1,0.22,0,0,0,1,0,0,Matches,32f60ed8
175,Billy Gilmour,sct SCO,MF,Chelsea,19,2001,2.9,4,1.38,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,df10e27c
176,Olivier Giroud,fr FRA,FW,Chelsea,33,1986,8.3,15,1.80,11,0,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches,16ceb862
177,Ben Godfrey,eng ENG,DF,Everton,22,1998,29.8,12,0.40,7,0,2,2,1,0,2,0.07,1,0,0,1,0,0,Matches,9f7c837d
178,André Gomes,pt POR,MF,Everton,27,1993,17.4,42,2.41,37,2,1,2,0,0,3,0.17,3,0,0,0,0,0,Matches,1961b2aa
179,Joe Gomez,eng ENG,DF,Liverpool,23,1997,6.6,3,0.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7a11550b
180,Anthony Gordon,eng ENG,FWMF,Everton,19,2001,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2bd83368
181,Karlan Grant,eng ENG,FWMF,West Brom,22,1997,12.5,15,1.20,11,0,0,3,1,0,2,0.16,1,0,0,1,0,0,Matches,87f7500e
182,Demarai Gray,eng ENG,FW,Leicester City,24,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4468ec10
183,Jack Grealish,eng ENG,FWMF,Aston Villa,24,1995,24.3,169,6.96,120,14,14,5,15,1,20,0.82,17,0,0,0,3,0,Matches,b0b4fd3e
184,Mason Greenwood,eng ENG,FW,Manchester Utd,18,2001,20.2,50,2.47,30,1,6,8,5,0,5,0.25,3,0,1,1,0,0,Matches,58eee997
185,Pascal Groß,de GER,MFDF,Brighton,29,1991,27.6,126,4.56,74,44,1,4,3,0,10,0.36,7,3,0,0,0,0,Matches,8aec0537
186,Kamil Grosicki,pl POL,MFFW,West Brom,32,1988,1.6,4,2.43,3,0,0,1,0,0,2,1.22,2,0,0,0,0,0,Matches,81d8091f
187,Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37.0,2,0.05,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ab13a5aa
188,İlkay Gündoğan,de GER,MF,Manchester City,29,1990,22.5,89,3.95,68,4,6,6,2,3,9,0.40,3,1,2,1,1,1,Matches,819b3158
189,Antwoine Hackford,eng ENG,DF,Sheffield Utd,16,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a7588cdc
190,Sébastien Haller,ci CIV,FW,West Ham,26,1994,10.4,16,1.54,13,0,0,0,3,0,0,0.00,0,0,0,0,0,0,Matches,ba115a40
191,Rekeem Harper,eng ENG,MF,West Brom,20,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3c066877
192,Jack Harrison,eng ENG,MFFW,Leeds United,23,1996,31.6,117,3.70,96,8,5,7,1,0,15,0.47,12,1,2,0,0,0,Matches,aa849a12
193,Kortney Hause,eng ENG,DF,Aston Villa,25,1995,7.0,1,0.14,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,bf8fad51
194,Kai Havertz,de GER,MFFW,Chelsea,21,1999,16.9,49,2.90,42,1,2,1,3,0,7,0.41,5,0,0,0,2,0,Matches,fed7cb61
195,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,25,1995,21.6,21,0.97,17,0,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches,c951a6df
196,Michael Hector,jm JAM,DF,Fulham,28,1992,2.9,3,1.03,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,5f1a2f31
197,Ahmed Hegazi,eg EGY,DF,West Brom,29,1991,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5540c9dc
198,Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,12.5,1,0.08,1,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,e5a76dfe
199,Jordan Henderson,eng ENG,MFDF,Liverpool,30,1990,18.9,36,1.90,31,3,0,0,1,1,4,0.21,3,1,0,0,0,0,Matches,935e6b8f
200,Jeff Hendrick,ie IRL,MF,Newcastle Utd,28,1992,15.8,20,1.27,18,0,0,1,1,0,4,0.25,4,0,0,0,0,0,Matches,989d5705
201,Pablo Hernández,es ESP,MF,Leeds United,35,1985,4.7,29,6.13,21,0,1,5,1,1,4,0.85,3,0,0,0,1,0,Matches,c0398aca
202,Son Heung-min,kr KOR,FW,Tottenham,28,1992,34.6,129,3.73,83,28,8,3,5,2,18,0.52,12,2,3,1,0,0,Matches,92e7e919
203,Ki-Jana Hoever,nl NED,DFMF,Wolves,18,2002,6.4,9,1.40,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9a71e978
204,Rob Holding,eng ENG,DF,Arsenal,24,1995,28.4,14,0.49,13,0,0,0,0,1,3,0.11,3,0,0,0,0,0,Matches,d79a8c87
205,Mason Holgate,eng ENG,DF,Everton,23,1996,25.4,22,0.87,15,3,0,0,3,1,0,0.00,0,0,0,0,0,0,Matches,d0042ab9
206,Conor Hourihane,ie IRL,MF,Aston Villa,29,1991,2.5,8,3.20,4,4,0,0,0,0,1,0.40,0,1,0,0,0,0,Matches,fcab00a0
207,Callum Hudson-Odoi,eng ENG,FWDF,Chelsea,19,2000,11.8,63,5.35,60,0,2,0,1,0,9,0.76,8,0,1,0,0,0,Matches,15f3ec41
208,Niall Huggins,wls WAL,DF,Leeds United,19,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6d646ff7
209,Pierre Højbjerg,dk DEN,MF,Tottenham,24,1995,38.0,59,1.55,52,3,0,2,1,1,10,0.26,9,1,0,0,0,0,Matches,8b04d6c1
210,Odion Ighalo,ng NGA,FW,Manchester Utd,31,1989,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,03622183
211,Kelechi Iheanacho,ng NGA,FW,Leicester City,23,1996,16.2,52,3.21,40,0,7,4,1,0,3,0.19,2,0,1,0,0,0,Matches,c92e1a31
212,Danny Ings,eng ENG,FW,Southampton,28,1992,24.1,59,2.44,44,0,8,5,2,0,8,0.33,4,0,2,2,0,0,Matches,07802f7f
213,Branislav Ivanović,rs SRB,DF,West Brom,36,1984,8.5,3,0.35,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,85f8571a
214,Alex Iwobi,ng NGA,FWMF,Everton,24,1996,17.1,45,2.63,38,0,2,3,2,0,5,0.29,4,0,0,1,0,0,Matches,6ca5ec4b
215,José Izquierdo,co COL,DF,Brighton,28,1992,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ca2bc3df
216,Phil Jagielka,eng ENG,DF,Sheffield Utd,37,1982,5.8,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3233eefd
217,Alireza Jahanbakhsh,ir IRN,FWMF,Brighton,26,1993,5.9,21,3.57,16,0,2,2,1,0,1,0.17,1,0,0,0,0,0,Matches,08452314
218,Daniel James,wls WAL,FW,Manchester Utd,22,1997,10.1,17,1.68,15,0,0,1,1,0,2,0.20,2,0,0,0,0,0,Matches,c931d9f9
219,Reece James,eng ENG,DF,Chelsea,20,1999,26.4,81,3.07,60,9,2,5,4,1,5,0.19,3,1,0,0,1,0,Matches,1265a93a
220,Alexandre Jankewitz,ch SUI,MF,Southampton,18,2001,0.0,1,30.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7c39363f
221,Daniel Jebbison,eng ENG,FW,Sheffield Utd,17,2003,3.2,3,0.95,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,03edb878
222,Gabriel Jesus,br BRA,FW,Manchester City,23,1997,22.9,78,3.40,53,0,8,9,7,1,11,0.48,9,0,1,1,0,0,Matches,b66315ae
223,Raúl Jiménez,mx MEX,FW,Wolves,29,1991,9.1,20,2.19,9,0,4,4,2,1,4,0.44,1,0,1,2,0,0,Matches,b561db50
224,Joelinton,br BRA,FWMF,Newcastle Utd,23,1996,22.0,54,2.45,33,0,6,4,9,2,7,0.32,3,0,2,1,1,0,Matches,c17bfb65
225,Ben Johnson,eng ENG,DFFW,West Ham,20,2000,5.8,7,1.20,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9319781b
226,Sam Johnstone,eng ENG,GK,West Brom,27,1993,37.0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,9e5708be
227,Curtis Jones,eng ENG,MF,Liverpool,19,2001,13.1,39,2.98,33,0,2,1,2,1,4,0.31,4,0,0,0,0,0,Matches,4fb9c88f
228,Jorginho,it ITA,MF,Chelsea,28,1991,22.3,54,2.42,53,0,0,0,0,1,2,0.09,2,0,0,0,0,0,Matches,45db685d
229,Willian José,br BRA,FW,Wolves,28,1991,12.3,26,2.11,18,0,1,6,1,0,1,0.08,0,0,0,0,1,0,Matches,d87e2cae
230,Diogo Jota,pt POR,FW,Liverpool,23,1996,12.4,37,2.99,23,0,2,5,6,1,4,0.32,2,0,1,0,1,0,Matches,178ae8f8
231,James Justin,eng ENG,DF,Leicester City,22,1998,23.0,60,2.61,45,2,4,0,9,0,8,0.35,5,1,1,0,1,0,Matches,fb614c44
232,Ozan Kabak,tr TUR,DF,Liverpool,20,2000,8.9,3,0.34,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2d61d13a
233,Aboubakar Kamara,mr MTN,FWMF,Fulham,25,1995,3.5,9,2.56,7,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,4047c976
234,Harry Kane,eng ENG,FW,Tottenham,27,1993,34.2,127,3.71,75,3,19,15,13,2,26,0.76,15,1,6,1,3,0,Matches,21a66f6a
235,N'Golo Kanté,fr FRA,MF,Chelsea,29,1991,23.8,50,2.10,47,0,2,1,0,0,1,0.04,1,0,0,0,0,0,Matches,b9fbae28
236,Moise Kean,it ITA,FWMF,Everton,20,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3d50bcdb
237,Michael Keane,eng ENG,DF,Everton,27,1993,33.2,26,0.78,25,0,0,1,0,0,2,0.06,2,0,0,0,0,0,Matches,c5b7c315
238,Neeskens Kebano,cd COD,FWMF,Fulham,28,1992,1.3,3,2.27,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,18b999f4
239,Naby Keïta,gn GUI,MF,Liverpool,25,1995,5.8,21,3.62,19,0,0,2,0,0,1,0.17,1,0,0,0,0,0,Matches,f25c8e3a
240,Caoimhín Kelleher,ie IRL,GK,Liverpool,21,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,62d7ef38
241,Martin Kelly,eng ENG,DF,Crystal Palace,30,1990,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d7492450
242,Jonjoe Kenny,eng ENG,DF,Everton,23,1997,0.9,1,1.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,099e666f
243,Reda Khadra,de GER,MF,Brighton,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,88acf83f
244,Max Kilman,eng ENG,DF,Wolves,23,1997,14.6,8,0.55,6,0,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches,d0f72bf1
245,Joshua King,no NOR,MFFW,Everton,28,1992,1.6,2,1.22,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,43458538
246,Mateusz Klich,pl POL,MF,Leeds United,30,1990,26.6,107,4.02,92,6,1,6,2,0,15,0.56,13,1,1,0,0,0,Matches,282679b4
247,Robin Koch,de GER,DFMF,Leeds United,24,1996,12.6,11,0.87,11,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches,ea6bc03a
248,Sead Kolašinac,ba BIH,DF,Arsenal,27,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3935e52e
249,Terence Kongolo,nl NED,DF,Fulham,26,1994,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1f9a3a04
250,Ezri Konsa,eng ENG,DF,Aston Villa,22,1997,35.5,7,0.20,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,0313a347
251,Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,30,1989,34.7,15,0.43,13,0,0,1,1,0,2,0.06,2,0,0,0,0,0,Matches,8d3c902d
252,Mateo Kovačić,hr CRO,MF,Chelsea,26,1994,20.2,55,2.73,50,0,1,1,2,1,4,0.20,4,0,0,0,0,0,Matches,79c0821a
253,Emil Krafth,se SWE,DF,Newcastle Utd,25,1994,14.3,14,0.98,11,2,1,0,0,0,1,0.07,1,0,0,0,0,0,Matches,77cf6852
254,Filip Krovinović,hr CRO,MF,West Brom,24,1995,6.1,20,3.29,13,3,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches,c2dfedeb
255,Alexandre Lacazette,fr FRA,FW,Arsenal,29,1991,21.4,55,2.57,35,0,6,2,10,2,5,0.23,4,0,0,0,1,0,Matches,9dbb75ca
256,Adam Lallana,eng ENG,MFFW,Brighton,32,1988,17.7,56,3.16,50,0,2,1,3,0,4,0.23,4,0,0,0,0,0,Matches,99813635
257,Érik Lamela,ar ARG,FWMF,Tottenham,28,1992,8.0,31,3.89,19,2,3,2,5,0,4,0.50,3,0,0,1,0,0,Matches,abe66106
258,Tariq Lamptey,gh GHA,DFMF,Brighton,19,2000,9.8,23,2.34,18,0,0,0,5,0,4,0.41,2,0,0,0,2,0,Matches,f4e433d4
259,Manuel Lanzini,ar ARG,MFFW,West Ham,27,1993,6.3,22,3.50,18,1,1,1,1,0,3,0.48,2,0,0,0,1,0,Matches,26f6dca8
260,Aymeric Laporte,es ESP,DF,Manchester City,26,1994,14.9,11,0.74,11,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,119b9a8e
261,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,26,1993,18.1,9,0.50,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,450ab6fc
262,Maxime Le Marchand,fr FRA,DF,Fulham,30,1989,1.4,2,1.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,321a71a7
263,Mario Lemina,ga GAB,MF,Fulham,26,1993,18.9,27,1.43,18,0,5,2,1,1,2,0.11,0,0,0,0,1,1,Matches,2b471f99
264,Bernd Leno,de GER,GK,Arsenal,28,1992,34.8,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2628fd2b
265,Khanya Leshabela,za RSA,MF,Leicester City,20,1999,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,383e68b1
266,Jamal Lewis,nir NIR,DF,Newcastle Utd,22,1998,20.4,29,1.42,25,3,0,0,1,0,2,0.10,2,0,0,0,0,0,Matches,efb9215a
267,Victor Lindelöf,se SWE,DF,Manchester Utd,26,1994,28.7,15,0.52,15,0,0,0,0,0,4,0.14,4,0,0,0,0,0,Matches,f5deef4c
268,Jesse Lingard,eng ENG,MFFW,West Ham,27,1992,15.8,63,3.99,46,5,2,5,5,0,12,0.76,6,2,1,2,1,0,Matches,810e3c74
269,Jake Livermore,eng ENG,MF,West Brom,30,1989,13.8,9,0.65,8,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,b98570d1
270,Diego Llorente,es ESP,DF,Leeds United,26,1993,13.4,7,0.52,6,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,bba30585
271,Hugo Lloris,fr FRA,GK,Tottenham,33,1986,38.0,2,0.05,1,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,8f62b6ee
272,Giovani Lo Celso,ar ARG,MF,Tottenham,24,1996,10.5,32,3.05,23,3,0,1,4,1,4,0.38,4,0,0,0,0,0,Matches,d7553721
273,Ruben Loftus-Cheek,eng ENG,FW,Chelsea,24,1996,0.7,1,1.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e97fd090
274,Ruben Loftus-Cheek,eng ENG,MFFW,Fulham,24,1996,21.2,61,2.88,36,0,8,4,10,3,0,0.00,0,0,0,0,0,0,Matches,e97fd090
275,Kevin Long,ie IRL,DF,Burnley,29,1990,7.1,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5a4280b1
276,Shane Long,ie IRL,FW,Southampton,33,1987,2.3,3,1.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f472354
277,Matthew Longstaff,eng ENG,MF,Newcastle Utd,20,2000,4.2,5,1.19,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c0027d2d
278,Sean Longstaff,eng ENG,MF,Newcastle Utd,22,1997,15.7,29,1.85,17,7,1,1,3,0,3,0.19,1,1,0,0,1,0,Matches,a2b105e0
279,Ademola Lookman,ng NGA,FWMF,Fulham,22,1997,30.5,127,4.16,82,24,6,9,6,0,9,0.29,5,2,1,1,0,0,Matches,7c104bb7
280,Max Lowe,eng ENG,DF,Sheffield Utd,23,1997,6.1,8,1.31,4,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches,7af88b33
281,Matthew Lowton,eng ENG,DF,Burnley,31,1989,34.0,62,1.82,50,6,2,1,1,2,4,0.12,4,0,0,0,0,0,Matches,9a9c05db
282,David Luiz,br BRA,DF,Arsenal,33,1987,15.5,14,0.90,10,0,1,2,1,0,0,0.00,0,0,0,0,0,0,Matches,c0e27d1a
283,Douglas Luiz,br BRA,MF,Aston Villa,22,1998,30.9,52,1.68,47,3,0,1,1,0,7,0.23,6,1,0,0,0,0,Matches,6f7d826d
284,John Lundstram,eng ENG,MF,Sheffield Utd,26,1994,22.6,50,2.21,41,5,1,1,2,0,5,0.22,4,1,0,0,0,0,Matches,0df2b165
285,Alexis Mac Allister,ar ARG,MFFW,Brighton,21,1998,12.4,34,2.74,29,0,2,2,1,0,2,0.16,2,0,0,0,0,0,Matches,83d074ff
286,James Maddison,eng ENG,MF,Leicester City,23,1996,23.3,113,4.85,63,22,7,7,12,2,10,0.43,8,0,0,0,2,0,Matches,ee38d9c5
287,Harry Maguire,eng ENG,DF,Manchester Utd,27,1993,33.9,38,1.12,30,0,0,6,0,2,7,0.21,5,0,0,1,0,1,Matches,d8931174
288,Riyad Mahrez,dz ALG,FW,Manchester City,29,1991,21.7,91,4.20,63,9,5,8,3,3,17,0.79,11,1,3,2,0,0,Matches,892d5bb1
289,Ainsley Maitland-Niles,eng ENG,MFDF,Arsenal,22,1997,5.4,11,2.02,6,1,2,0,1,1,2,0.37,0,0,0,0,1,1,Matches,e3a5814e
290,Ainsley Maitland-Niles,eng ENG,MF,West Brom,22,1997,13.7,22,1.61,19,0,1,0,2,0,2,0.15,1,0,0,0,1,0,Matches,e3a5814e
291,Josh Maja,ng NGA,FW,Fulham,21,1998,9.0,19,2.11,14,0,3,2,0,0,0,0.00,0,0,0,0,0,0,Matches,bc0bfc64
292,Sadio Mané,sn SEN,FW,Liverpool,28,1992,31.2,141,4.52,95,1,15,9,18,3,16,0.51,9,0,0,3,2,2,Matches,c691bfe2
293,Javier Manquillo,es ESP,DF,Newcastle Utd,26,1994,9.2,11,1.20,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,758dd7f0
294,Fernando Marçal,br BRA,DFMF,Wolves,31,1989,6.9,8,1.15,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9ae9eaea
295,Solly March,eng ENG,DFMF,Brighton,26,1994,18.6,58,3.12,44,8,1,2,2,1,3,0.16,3,0,0,0,0,0,Matches,bb5fbd2b
296,Pablo Marí,es ESP,DF,Arsenal,26,1993,10.0,3,0.30,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,aa54ec6f
297,Anthony Martial,fr FRA,FW,Manchester Utd,24,1995,16.4,48,2.92,31,0,7,4,6,0,9,0.55,2,0,1,2,4,0,Matches,8b788c01
298,Martinelli,br BRA,FW,Arsenal,19,2001,6.5,21,3.20,16,0,3,2,0,0,1,0.15,1,0,0,0,0,0,Matches,48a5a5d6
299,Emiliano Martínez,ar ARG,GK,Aston Villa,27,1992,38.0,5,0.13,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,7956236f
300,Arthur Masuaku,cd COD,DFMF,West Ham,26,1993,11.2,33,2.95,25,2,3,2,1,0,4,0.36,4,0,0,0,0,0,Matches,57df7a11
301,Juan Mata,es ESP,FWMF,Manchester Utd,32,1988,5.7,20,3.54,14,4,0,2,0,0,5,0.89,3,1,0,1,0,0,Matches,29733c72
302,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,23,1997,2.5,3,1.23,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,50e6dc35
303,Nemanja Matić,rs SRB,MF,Manchester Utd,31,1988,12.3,24,1.95,22,0,0,2,0,0,3,0.24,3,0,0,0,0,0,Matches,eb7822d7
304,Joël Matip,cm CMR,DF,Liverpool,28,1991,7.7,6,0.78,5,0,0,1,0,0,2,0.26,1,0,0,1,0,0,Matches,b217ef29
305,Neal Maupay,fr FRA,FWMF,Brighton,23,1996,27.9,77,2.76,56,1,6,7,6,1,7,0.25,5,0,0,1,1,0,Matches,4bcf39f6
306,James McArthur,sct SCO,MF,Crystal Palace,32,1987,16.3,23,1.41,21,0,0,0,1,1,3,0.18,3,0,0,0,0,0,Matches,cee31595
307,Oliver McBurnie,sct SCO,FW,Sheffield Utd,24,1996,14.7,31,2.11,23,0,0,5,3,0,2,0.14,0,0,0,1,1,0,Matches,78b8ac63
308,Alex McCarthy,eng ENG,GK,Southampton,30,1989,30.0,3,0.10,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,36c2ca73
309,James McCarthy,ie IRL,MF,Crystal Palace,29,1990,9.1,11,1.21,9,0,0,0,1,1,1,0.11,0,0,0,0,0,1,Matches,64b08de7
310,John McGinn,sct SCO,MF,Aston Villa,25,1994,37.0,123,3.32,101,4,8,2,7,1,15,0.41,10,1,2,1,1,0,Matches,90f91999
311,David McGoldrick,ie IRL,FWMF,Sheffield Utd,32,1987,26.6,58,2.18,37,2,8,5,4,2,1,0.04,1,0,0,0,0,0,Matches,dbe56a33
312,Dwight McNeil,eng ENG,MF,Burnley,20,1999,34.1,93,2.73,49,26,5,2,10,1,10,0.29,5,3,1,0,0,1,Matches,fc15fb84
313,Scott McTominay,sct SCO,MF,Manchester Utd,23,1996,23.7,33,1.40,24,0,2,2,3,2,3,0.13,1,0,1,0,0,1,Matches,d93c2511
314,Ben Mee,eng ENG,DF,Burnley,30,1989,29.9,13,0.43,8,2,0,2,1,0,1,0.03,1,0,0,0,0,0,Matches,8df7a2fb
315,Hannibal Mejbri,tn TUN,MF,Manchester Utd,17,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ca22ccb0
316,Benjamin Mendy,fr FRA,DF,Manchester City,26,1994,10.6,19,1.79,14,0,4,1,0,0,2,0.19,1,0,1,0,0,0,Matches,5271c8f1
317,Edouard Mendy,sn SEN,GK,Chelsea,28,1992,30.5,2,0.07,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,33887998
318,Nampalys Mendy,sn SEN,MF,Leicester City,28,1992,16.2,22,1.36,14,0,0,0,5,3,2,0.12,2,0,0,0,0,0,Matches,1598599e
319,Illan Meslier,fr FRA,GK,Leeds United,20,2000,35.0,7,0.20,4,2,0,0,1,0,1,0.03,1,0,0,0,0,0,Matches,6b625ac2
320,Luka Milivojević,rs SRB,MF,Crystal Palace,29,1991,26.2,49,1.87,31,14,1,2,1,0,3,0.11,3,0,0,0,0,0,Matches,2ce2508a
321,James Milner,eng ENG,MFDF,Liverpool,34,1986,11.9,27,2.27,22,3,1,1,0,0,1,0.08,0,1,0,0,0,0,Matches,2f90f6b8
322,Yerry Mina,co COL,DF,Everton,25,1994,21.5,6,0.28,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,6d5701f2
323,Takumi Minamino,jp JPN,MF,Southampton,25,1995,7.9,15,1.90,11,0,0,2,2,0,1,0.13,1,0,0,0,0,0,Matches,f833a830
324,Takumi Minamino,jp JPN,MFFW,Liverpool,25,1995,3.3,7,2.15,4,0,1,1,1,0,1,0.31,0,0,1,0,0,0,Matches,f833a830
325,Tyrone Mings,eng ENG,DF,Aston Villa,27,1993,35.5,23,0.65,17,2,1,2,0,1,2,0.06,2,0,0,0,0,0,Matches,8397a50c
326,Tyrick Mitchell,eng ENG,DF,Crystal Palace,20,1999,19.0,12,0.63,11,0,0,0,0,1,3,0.16,3,0,0,0,0,0,Matches,5cbd1eb0
327,Aleksandar Mitrović,rs SRB,FW,Fulham,25,1994,15.6,44,2.82,34,1,3,1,5,0,5,0.32,3,0,1,1,0,0,Matches,3925dbd6
328,Jakub Moder,pl POL,DFMF,Brighton,21,1999,7.2,12,1.67,9,1,0,1,0,1,1,0.14,1,0,0,0,0,0,Matches,f230bc30
329,Jayson Molumby,ie IRL,MF,Brighton,20,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c908a1bc
330,Wesley Moraes,br BRA,FW,Aston Villa,23,1996,0.2,1,5.29,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,bfae110f
331,Wes Morgan,jm JAM,DF,Leicester City,36,1984,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,80c31c97
332,Mason Mount,eng ENG,MF,Chelsea,21,1999,32.1,169,5.26,97,46,11,7,7,1,14,0.44,6,4,1,2,1,0,Matches,9674002f
333,Lucas Moura,br BRA,FWMF,Tottenham,27,1992,15.7,39,2.49,27,3,1,2,4,2,9,0.57,7,0,0,1,0,1,Matches,2b622f01
334,Lys Mousset,fr FRA,FWMF,Sheffield Utd,24,1996,3.3,6,1.82,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d9cfca3d
335,João Moutinho,pt POR,MF,Wolves,33,1986,28.1,96,3.42,62,27,0,2,2,3,6,0.21,3,2,0,0,1,0,Matches,f5a00fa4
336,Joel Mumbongo,se SWE,FW,Burnley,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f8e588df
337,Jacob Murphy,eng ENG,DFMF,Newcastle Utd,25,1995,18.1,46,2.55,29,5,6,3,2,1,7,0.39,5,0,0,1,0,1,Matches,de112b84
338,Shkodran Mustafi,de GER,DF,Arsenal,28,1992,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3f2d59fe
